item	cond	subject	rt	region.id	correct_answer	accuracy
1	c	1m19	562	N	N	1
1	c	1m19	985	VN	N	1
1	c	1m19	485	DE	N	1
1	c	1m19	469	hd2	N	1
1	c	1m19	1531	hd1	N	1
1	c	1m23	672	VN	N	1
1	c	1m23	640	FreqP	N	1
1	c	1m23	578	head	N	1
1	c	1m23	516	hd1	N	1
1	c	1m23	563	hd3	N	1
1	c	1m23	516	DE	N	1
1	c	1m23	625	Adv	N	1
1	c	1m23	687	V	N	1
1	c	1m23	860	Det+CL	N	1
1	c	1m23	688	N	N	1
1	c	1m23	515	hd2	N	1
1	c	1m3	625	Adv	N	1
1	c	1m3	641	N	N	1
1	c	1m3	391	hd1	N	1
1	c	1m3	2265	head	N	1
1	c	1m3	407	DE	N	1
1	c	1m3	625	hd3	N	1
1	c	1m3	375	hd2	N	1
1	c	1m3	500	VN	N	1
1	c	1m3	453	Det+CL	N	1
1	c	1m3	422	FreqP	N	1
1	c	1m3	609	V	N	1
1	c	1m7	281	head	N	1
1	c	1m7	282	hd2	N	1
1	c	1m7	328	DE	N	1
1	c	1m7	375	hd1	N	1
1	c	1m7	391	N	N	1
1	c	1m7	422	VN	N	1
1	c	1m7	2906	Det+CL	N	1
1	c	1m7	531	V	N	1
1	c	1m7	344	FreqP	N	1
1	c	1m7	875	hd3	N	1
1	c	1m7	500	Adv	N	1
1	c	2m11	546	FreqP	N	1
1	c	2m11	282	DE	N	1
1	c	2m11	328	hd1	N	1
1	c	2m11	312	V	N	1
1	c	2m11	234	Det+CL	N	1
1	c	2m11	359	hd2	N	1
1	c	2m11	297	VN	N	1
1	c	2m11	313	N	N	1
1	c	2m11	328	head	N	1
1	c	2m11	297	Adv	N	1
1	c	2m11	516	hd3	N	1
1	c	2m15	500	head	N	1
1	c	2m15	437	DE	N	1
1	c	2m15	859	Adv	N	1
1	c	2m15	469	N	N	1
1	c	2m15	766	V	N	1
1	c	2m15	688	hd3	N	1
1	c	2m15	610	FreqP	N	1
1	c	2m15	953	Det+CL	N	1
1	c	2m15	547	hd1	N	1
1	c	2m15	922	VN	N	1
1	c	2m15	406	hd2	N	1
1	c	2m19	703	VN	N	1
1	c	2m19	343	head	N	1
1	c	2m19	343	N	N	1
1	c	2m19	344	FreqP	N	1
1	c	2m19	391	Det+CL	N	1
1	c	2m19	625	Adv	N	1
1	c	2m19	313	DE	N	1
1	c	2m19	484	hd3	N	1
1	c	2m19	672	hd2	N	1
1	c	2m19	594	hd1	N	1
1	c	2m19	344	V	N	1
1	c	2m23	578	head	N	1
1	c	2m23	640	FreqP	N	1
1	c	2m23	531	hd1	N	1
1	c	2m23	1359	hd3	N	1
1	c	2m23	375	VN	N	1
1	c	2m23	672	V	N	1
1	c	2m23	563	hd2	N	1
1	c	2m23	594	Det+CL	N	1
1	c	2m23	469	DE	N	1
1	c	2m23	516	Adv	N	1
1	c	2m23	625	N	N	1
1	c	2m3	563	hd1	N	1
1	c	2m3	578	head	N	1
1	c	2m3	500	V	N	1
1	c	2m3	531	N	N	1
1	c	2m3	766	hd3	N	1
1	c	2m3	594	Det+CL	N	1
1	c	2m3	469	FreqP	N	1
1	c	2m3	406	DE	N	1
1	c	2m3	750	Adv	N	1
1	c	2m3	2141	VN	N	1
1	c	2m3	468	hd2	N	1
1	c	2m7	484	hd1	N	1
1	c	2m7	750	Det+CL	N	1
1	c	2m7	781	VN	N	1
1	c	2m7	578	FreqP	N	1
1	c	2m7	485	hd2	N	1
1	c	2m7	640	hd3	N	1
1	c	2m7	719	Adv	N	1
1	c	2m7	656	V	N	1
1	c	2m7	625	N	N	1
1	c	2m7	469	head	N	1
1	c	2m7	375	DE	N	1
1	d	1m12	594	hd1	Y	0
1	d	1m12	344	FreqP	Y	0
1	d	1m12	719	V	Y	0
1	d	1m12	468	hd3	Y	0
1	d	1m12	313	hd2	Y	0
1	d	1m12	422	DE	Y	0
1	d	1m12	515	Det+CL	Y	0
1	d	1m12	484	head	Y	0
1	d	1m12	438	N	Y	0
1	d	1m12	719	VN	Y	0
1	d	1m12	453	Adv	Y	0
1	d	1m16	422	hd2	N	1
1	d	1m16	532	hd3	N	1
1	d	1m16	843	head	N	1
1	d	1m16	422	N	N	1
1	d	1m16	391	Det+CL	N	1
1	d	1m16	375	hd1	N	1
1	d	1m16	343	Adv	N	1
1	d	1m16	782	VN	N	1
1	d	1m16	547	V	N	1
1	d	1m16	422	FreqP	N	1
